,Agencia_ID,Town,State,Location,route,locality,area,country,address,lat,lng,bounds_ne_lat,bounds_ne_lng,bounds_sw_lat,bounds_sw_lng,viewport_ne_lat,viewport_ne_lng,viewport_sw_lat,viewport_sw_lng
0,1110,2008 AG. LAGO FILT,"MÉXICO, D.F.","2008 AG. LAGO FILT, MÉXICO, D.F.",Calle Lago Filt,Ciudad de México,Ciudad de México,Mexico,"Calle Lago Filt, Ciudad de México, CDMX, Mexico",19.4419322,-99.1957965,19.4430976,-99.19578930000002,19.4408317,-99.1959624,19.4433136302915,-99.19452686970851,19.4406156697085,-99.19722483029153
1,1111,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F.","2002 AG. AZCAPOTZALCO, MÉXICO, D.F.",Azcapotzalco,Mexico City,Mexico City,Mexico,"Azcapotzalco, Mexico City, CDMX, Mexico",19.4846606,-99.1886749,19.5151358,-99.1430546,19.4564347,-99.22111509999999,19.5151358,-99.1430546,19.4564347,-99.22111509999999
2,1112,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO,"2004 AG. CUAUTITLAN, ESTADO DE MÉXICO",Cuautitlan,State of Mexico,Mexico,,"Cuautitlan, State of Mexico, Mexico",19.6726588,-99.1648692,19.6935114,-99.1397631,19.643411,-99.1926031,19.6935114,-99.1397631,19.643411,-99.1926031
3,1113,2008 AG. LAGO FILT,"MÉXICO, D.F.","2008 AG. LAGO FILT, MÉXICO, D.F.",Calle Lago Filt,Ciudad de México,Ciudad de México,Mexico,"Calle Lago Filt, Ciudad de México, CDMX, Mexico",19.4419322,-99.1957965,19.4430976,-99.19578930000002,19.4408317,-99.1959624,19.4433136302915,-99.19452686970851,19.4406156697085,-99.19722483029153
4,1114,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F.","2029 AG.IZTAPALAPA 2, MÉXICO, D.F.",2,A. Martínez G.,Ejército de Agua Prieta,Ciudad de México,"A. Martínez G. 2, Ejército de Agua Prieta, Iztapalapa, 09578 Ciudad de México, CDMX, Mexico",19.369077,-99.0393589,,,,,19.3704259802915,-99.03800991970849,19.3677280197085,-99.0407078802915
5,1116,2011 AG. SAN ANTONIO,"MÉXICO, D.F.","2011 AG. SAN ANTONIO, MÉXICO, D.F.",29,2a. Cerrada 5 de Mayo,Centro Histórico de la Ciudad de México,Centro,"2a. Cerrada 5 de Mayo 29, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.43373,-99.135397,,,,,19.4350789802915,-99.13404801970849,19.4323810197085,-99.13674598029151
6,1117,2001 AG. ATIZAPAN,ESTADO DE MÉXICO,"2001 AG. ATIZAPAN, ESTADO DE MÉXICO",Ciudad López Mateos,State of Mexico,Mexico,,"Ciudad López Mateos, State of Mexico, Mexico",19.5562275,-99.2674713,19.6122141,-99.2115802,19.4234552,-99.3702746,19.6122141,-99.2115802,19.4234552,-99.3702746
7,1118,2007 AG. LA VILLA,"MÉXICO, D.F.","2007 AG. LA VILLA, MÉXICO, D.F.",Mexico City,Mexico City,Mexico,,"Mexico City, CDMX, Mexico",19.4326077,-99.133208,19.5927571,-98.9604482,19.1887101,-99.3267771,19.5927571,-98.9604482,19.1887101,-99.3267771
8,1119,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,"2013 AG. MEGA NAUCALPAN, ESTADO DE MÉXICO",Naucalpan de Juárez,State of Mexico,Mexico,,"Naucalpan de Juárez, State of Mexico, Mexico",19.4630841,-99.245302,19.5275166,-99.2068249,19.4120072,-99.3029739,19.5275166,-99.2068249,19.4120072,-99.3029739
9,1120,2018 AG. TEPALCATES 2,"MÉXICO, D.F.","2018 AG. TEPALCATES 2, MÉXICO, D.F.",A. Martínez G.,Ejército de Agua Prieta,Ciudad de México,Ciudad de México,"A. Martínez G., Ejército de Agua Prieta, 09578 Ciudad de México, CDMX, Mexico",19.3687726,-99.03934729999999,19.3692228,-99.03914309999999,19.3681954,-99.0394022,19.3700580802915,-99.03792366970849,19.3673601197085,-99.0406216302915
10,1121,2016 AG. SAN LORENZO,"MÉXICO, D.F.","2016 AG. SAN LORENZO, MÉXICO, D.F.",Mexico City,Mexico City,Mexico,,"Mexico City, CDMX, Mexico",19.4326077,-99.133208,19.5927571,-98.9604482,19.1887101,-99.3267771,19.5927571,-98.9604482,19.1887101,-99.3267771
11,1122,2019 AG. XALOSTOC,ESTADO DE MÉXICO,"2019 AG. XALOSTOC, ESTADO DE MÉXICO",San Pedro Xalostoc,Ecatepec de Morelos,Estado de México,Mexico,"San Pedro Xalostoc, 55310 Ecatepec de Morelos, Méx., Mexico",19.5378854,-99.0778438,19.545693,-99.0729673,19.5304005,-99.0849065,19.545693,-99.0729673,19.5304005,-99.0849065
12,1123,2094 CHALCO_BM,ESTADO DE MÉXICO,"2094 CHALCO_BM, ESTADO DE MÉXICO",State of Mexico,Mexico,,,"State of Mexico, Mexico",19.4968732,-99.72326729999999,20.2858665,-98.5968666,18.3669428,-100.6130911,20.2858665,-98.5968666,18.3669428,-100.6130911
13,1124,2021 AG. XOCHIMILCO 2,"MÉXICO, D.F.","2021 AG. XOCHIMILCO 2, MÉXICO, D.F.",Xochimilco,Mexico City,Mexico,,"Xochimilco, CDMX, Mexico",19.2572314,-99.1029664,19.3204494,-99.0070447,19.1525441,-99.1543947,19.3204494,-99.0070447,19.1525441,-99.1543947
14,1126,2017 AG. SANTA CLARA,ESTADO DE MÉXICO,"2017 AG. SANTA CLARA, ESTADO DE MÉXICO",Santa Clara,Santa Clara County,California,United States,"Santa Clara, CA, USA",37.3541079,-121.9552356,37.418939,-121.9297351,37.3228419,-122.00537,37.418939,-121.9297351,37.3228419,-122.00537
15,1127,2003 AG. COACALCO,ESTADO DE MÉXICO,"2003 AG. COACALCO, ESTADO DE MÉXICO",Coacalco,State of Mexico,Mexico,,"Coacalco, State of Mexico, Mexico",19.6290831,-99.1043451,19.6640439,-99.0724699,19.6103089,-99.1272513,19.6640439,-99.0724699,19.6103089,-99.1272513
16,1129,2011 AG. SAN ANTONIO,"MÉXICO, D.F.","2011 AG. SAN ANTONIO, MÉXICO, D.F.",29,2a. Cerrada 5 de Mayo,Centro Histórico de la Ciudad de México,Centro,"2a. Cerrada 5 de Mayo 29, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.43373,-99.135397,,,,,19.4350789802915,-99.13404801970849,19.4323810197085,-99.13674598029151
17,1130,2010 AG. LOS REYES,ESTADO DE MÉXICO,"2010 AG. LOS REYES, ESTADO DE MÉXICO",,,,,,,,,,,,,,,
18,1137,2014 AG. NEZA,ESTADO DE MÉXICO,"2014 AG. NEZA, ESTADO DE MÉXICO",Ciudad Nezahualcóyotl,State of Mexico,Mexico,,"Ciudad Nezahualcóyotl, State of Mexico, Mexico",19.3994934,-98.9896643,19.4987787,-98.96587430000001,19.3662102,-99.0679912,19.4987787,-98.96587430000001,19.3662102,-99.0679912
19,1138,2015 AG. ROJO GOMEZ,"MÉXICO, D.F.","2015 AG. ROJO GOMEZ, MÉXICO, D.F.",Mexico City,Mexico City,Mexico,,"Mexico City, CDMX, Mexico",19.4326077,-99.133208,19.5927571,-98.9604482,19.1887101,-99.3267771,19.5927571,-98.9604482,19.1887101,-99.3267771
20,1139,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,"2013 AG. MEGA NAUCALPAN, ESTADO DE MÉXICO",Naucalpan de Juárez,State of Mexico,Mexico,,"Naucalpan de Juárez, State of Mexico, Mexico",19.4630841,-99.245302,19.5275166,-99.2068249,19.4120072,-99.3029739,19.5275166,-99.2068249,19.4120072,-99.3029739
21,1140,2078 AG. TEXCOCO,ESTADO DE MÉXICO,"2078 AG. TEXCOCO, ESTADO DE MÉXICO",Texcoco,State of Mexico,Mexico,,"Texcoco, State of Mexico, Mexico",19.5060382,-98.8831503,19.5428317,-98.84958859999999,19.4750261,-98.92285509999999,19.5428317,-98.84958859999999,19.4750261,-98.92285509999999
22,1142,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,"2013 AG. MEGA NAUCALPAN, ESTADO DE MÉXICO",Naucalpan de Juárez,State of Mexico,Mexico,,"Naucalpan de Juárez, State of Mexico, Mexico",19.4630841,-99.245302,19.5275166,-99.2068249,19.4120072,-99.3029739,19.5275166,-99.2068249,19.4120072,-99.3029739
23,1143,2088 AG. CEYLAN,"MÉXICO, D.F.","2088 AG. CEYLAN, MÉXICO, D.F.",Avenida Ceylan,Ciudad de México,Ciudad de México,Mexico,"Avenida Ceylan, Ciudad de México, CDMX, Mexico",19.4894488,-99.1682215,19.5080053,-99.1594532,19.4717335,-99.176062,19.5080053,-99.1594532,19.4717335,-99.176062
24,1146,2088 AG. CEYLAN,"MÉXICO, D.F.","2088 AG. CEYLAN, MÉXICO, D.F.",Avenida Ceylan,Ciudad de México,Ciudad de México,Mexico,"Avenida Ceylan, Ciudad de México, CDMX, Mexico",19.4894488,-99.1682215,19.5080053,-99.1594532,19.4717335,-99.176062,19.5080053,-99.1594532,19.4717335,-99.176062
25,1147,2003 AG. COACALCO,ESTADO DE MÉXICO,"2003 AG. COACALCO, ESTADO DE MÉXICO",Coacalco,State of Mexico,Mexico,,"Coacalco, State of Mexico, Mexico",19.6290831,-99.1043451,19.6640439,-99.0724699,19.6103089,-99.1272513,19.6640439,-99.0724699,19.6103089,-99.1272513
